week,week_starting,provider_name,provider_address,city,county,vaccine_type,allocated_doses
Week 17,2021-04-05,Walgreens Pharmacy 06619,1215 W 43rd St,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06643,6360 San Felipe St,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06668,9450 Hammerly Blvd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06702,3403 Mangum Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06857,950 Studemont St,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06865,12097 Veterans Memorial Dr,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06907,6600 Airline Dr,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06909,4007 Barker Cypress Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07005,16185 Space Center Blvd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07071,13196 Bellaire Blvd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07251,11038 Westheimer Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07289,500 Maxey Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07348,8910 Jones Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07381,17150 Fm 529 Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07413,5560 Wes layan,Houston,Harris,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07492,6402 Fm 1960 Rd W,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07530,1770 W T C Jester Blvd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07722,11994 Richmond Ave,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07725,14625 Fm 529 Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07773,12959 Aldine Westfield Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09002,6320 N Eldridge Pkwy,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09163,9885 Blackhawk Blvd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09291,12702 Bammel-North Houston,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09294,415 Shepherd Dr,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09471,5501 W Orem Dr,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09473,12300 Jones Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09696,2605 W Holcombe Blvd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09808,2612 Smith St,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10259,10660 Eastex Fwy,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10818,7929 Kirby Dr,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10846,6400 Fannin St Ste 102,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10848,7900 Fannin St Ste 1350,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 11216,11914 Astoria Blvd Ste 190,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 11465,3822 Old Spanish Trl,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 11854,1301 Nasa Pkwy,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 12015,747 E CROSSTIMBERS ST,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 12069,2221 Fulton St,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 12377,13631 Tidwell Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 13778,6624 FANNIN ST,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 13786,200 W 20th St,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 15155,107 W Rankin Rd,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 21239,3217 Montrose Blvd STE 120,Houston,HARRIS,Johnson,100
Week 17,2021-04-05,City Of Humble Fire Department,110 W Main St,Humble,HARRIS,Johnson,200
Week 17,2021-04-05,HEB Pharmacy 498,7405 Fm 1960 E,Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Kelsey-Seybold Summer Creek,8233 N Sam Houston Pkwy E,Humble,HARRIS,Johnson,300
Week 17,2021-04-05,Kroger Pharmacy 190,9475 Fm 1960 Bypass Rd W,Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 318,19250 WEST LAKE HOUSTON PKWY,Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 367,3820 Atascocita Road,Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 00496,19639 Highway 59 N,Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03025,7440 Fm 1960 Rd E,Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07681,"8505 Fm 1960 Rd., W.",Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09203,9510 N Sam Houston Pkwy E,Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09601,3755 Atascocita Rd,Humble,HARRIS,Johnson,100
Week 17,2021-04-05,Brookshire Brothers Pharmacy #9,5249 Franz Rd,Katy,HARRIS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 497,1621 S Mason Rd,Katy,HARRIS,Johnson,100
Week 17,2021-04-05,Kelsey-Seybold Clinic - West Grand Parkway,2510 W. Grand Parkway N.,Katy,HARRIS,Johnson,300
Week 17,2021-04-05,Walgreens Pharmacy 04078,5161 Franz Rd,Katy,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 04696,411 S Mason Rd,Katy,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 04839,2010 S Fry Rd,Katy,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07019,3120 Fry Rd,Katy,HARRIS,Johnson,100
Week 17,2021-04-05,Zealth Care Pllc,19121 W Little York Rd Ste B,Katy,HARRIS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 720,4517 Kingwood Dr,Kingwood,HARRIS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 759,19529 Northpark Dr,Kingwood,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 310,3410 NORTHPARK DR,Kingwood,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 04840,2240 Northpark Dr,Kingwood,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05671,4445 Kingwood Dr,Kingwood,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09700,1210 Kingswood Dr,Kingwood,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 319,1300 FM 655 RD,La Porte,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03001,1102 S Broadway St,La Porte,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03286,9705 Spencer Hwy,La Porte,HARRIS,Johnson,100
Week 17,2021-04-05,Altus Houston Hospital,7215 Fairmont Pkwy,Pasadena,HARRIS,Johnson,200
Week 17,2021-04-05,Heb Pharmacy 473,6210 Fairmont Pkwy,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Kelsey Seybold Clinic Pasadena,5001 E Sam Houston Pkwy S,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 322,6767 Spencer Hwy,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 337,2619 Red Bluff,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 354,3550 Spencer Hwy,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,"Pasadena Health Center, Inc.",908 Southmore Ave,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,"Pcp Associates Of Pasadena, Pa",5030 Crenshaw Rd,Pasadena,HARRIS,Johnson,200
Week 17,2021-04-05,Walgreens Pharmacy 04133,3707 Spencer Hwy,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05422,2130 Richey St,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05733,6302 Fairmont Pkwy,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05766,101 W Southmore Ave,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05767,2204 Southmore Ave,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07073,4615 Fairmont Pkwy,Pasadena,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 342,1905 El Mar Ln,Seabrook,HARRIS,Johnson,100
Week 17,2021-04-05,Chevron Phillips Chemical,10001 Six Pines Dr,Spring,HARRIS,Johnson,200
Week 17,2021-04-05,ExxonMobil Corporation,22777 Springwoods Village Parkway,Spring,HARRIS,Johnson,400
Week 17,2021-04-05,HEB Pharmacy 610,2121 Fm 2920 Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 725,20311 Champion Forest Dr,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 748,5251 Fm 2920,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 307,15802 Champion Forest Dr,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 364,6060 Fm 2920 Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 376,18518 Kuykendahl Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 738,8745 Spring Cypress Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Healthcare Clinic,19710 Holzwarth Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03424,23110 Aldine Westfield Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06750,18535 Champion Forest Dr,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07307,2103 Fm 2920 Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07599,7304 Louetta Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07720,21106 Kuykendahl Rd,Spring,HARRIS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 574,28520 State Highway 249,Tomball,HARRIS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 686,26500 Kuykendahl Rd,Tomball,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 117,24350 Kuykendahl Rd,Tomball,HARRIS,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 390,14060 Fm 2920 Rd,Tomball,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03233,28426 State Highway 249,Tomball,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07372,11970 Spring Cypress Rd,Tomball,HARRIS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07671,24424 State Highway 249,Tomball,HARRIS,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 1007,31303 Fm 2920 Rd Ste H,Waller,HARRIS,Johnson,100
Week 17,2021-04-05,Kelsey-Seybold - Webster,1010 S Ponds Dr,Webster,HARRIS,Johnson,700
Week 17,2021-04-05,Brookshires Pharmacy 130,590 W Main St,Hallsville,HARRISON,Johnson,100
Week 17,2021-04-05,Marshall-Harrison County Health District (Re),805 Lindsey Dr,Marshall,HARRISON,Johnson,500
Week 17,2021-04-05,Walgreens Pharmacy 06196,309 E End Blvd N,Marshall,HARRISON,Johnson,100
Week 17,2021-04-05,Austin Regional Clinic-Buda,3420 Fm 967 Ste B100,Buda,HAYS,Johnson,1000
Week 17,2021-04-05,HEB Pharmacy 477,15300 Ih 35 S,Buda,HAYS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10841,1660 Main St,Buda,HAYS,Johnson,300
Week 17,2021-04-05,Austin Regional Clinic - Dripping Springs,27600 Ranch Road 12 Bldg 1,Dripping Springs,HAYS,Johnson,1000
Week 17,2021-04-05,HEB Pharmacy 611,598 E Hwy Us 290,Dripping Springs,HAYS,Johnson,100
Week 17,2021-04-05,Solutions Pharmacy,13830 Sawyer Ranch Rd,Dripping Springs,HAYS,Johnson,500
Week 17,2021-04-05,Walgreens Pharmacy 12029,27495 Rr 12,Dripping Springs,HAYS,Johnson,300
Week 17,2021-04-05,Austin Regional Clinic - Center Street,22420 Ih 35,Kyle,HAYS,Johnson,1000
Week 17,2021-04-05,HEB Pharmacy 14,5401 South Fm 1626,Kyle,HAYS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 12517,5781 Kyle Pkwy,Kyle,HAYS,Johnson,300
Week 17,2021-04-05,Walgreens Pharmacy 15156,6205 Fm 2770,Kyle,HAYS,Johnson,300
Week 17,2021-04-05,B And J Pharmacy,2111 Hunter Rd,San Marcos,HAYS,Johnson,300
Week 17,2021-04-05,Heb Pharmacy 243,641 E Hopkins St,San Marcos,HAYS,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 455,200 W Hopkins St,San Marcos,HAYS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 04550,639 E Hopkins St,San Marcos,HAYS,Johnson,300
Week 17,2021-04-05,Walgreens Pharmacy 12521,1700 Rr 12,San Marcos,HAYS,Johnson,300
Week 17,2021-04-05,Brookshires Pharmacy 67,14100 Ranch Road 12 Unit 2a,Wimberley,HAYS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 708,14501 Ranch Road 12,Wimberley,HAYS,Johnson,100
Week 17,2021-04-05,Wimberley Pharmacy,120 Joe Wimberley Blvd,Wimberley,HAYS,Johnson,200
Week 17,2021-04-05,Brookshire's Pharmacy 011,807 E Tyler St,Athens,HENDERSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09410,1007 E Tyler St,Athens,HENDERSON,Johnson,200
Week 17,2021-04-05,Brookshires Pharmacy 84,703 HWY 31 E,Chandler,HENDERSON,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 68,210 S Seven Points Dr,Kemp,HENDERSON,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 064,1200 S 3rd St,Mabank,HENDERSON,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 421,1211 Hwy 83e,Alamo,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 12837,510 N Alamo Rd,Alamo,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10300,4305 N Conway Ave,Alton,HIDALGO,Johnson,100
Week 17,2021-04-05,Cantu's Pharmacy,504 S Closner Blvd,Edinburg,HIDALGO,Johnson,100
Week 17,2021-04-05,Evins Regional Juvenile Center/Utmb,3801 E. Monte Cristo,Edinburg,HIDALGO,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 172,1212 S Closner Blvd,Edinburg,HIDALGO,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 431,2700 W Freddy Gonzalez Dr,Edinburg,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05734,1520 W Freddy Gonzalez Dr,Edinburg,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 11148,1520 S Mccoll Rd,Edinburg,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 13114,1418 E University Dr,Edinburg,HIDALGO,Johnson,100
Week 17,2021-04-05,Yvonne Bracamontes MD PA,3111 Center Pointe Drive Suit B,Edinburg,HIDALGO,Johnson,200
Week 17,2021-04-05,HEB Pharmacy 677,512 East Edinburg Ave,Elsa,HIDALGO,Johnson,100
Week 17,2021-04-05,Saenz Medical Center,1000 E. Exp 83,La Joya,HIDALGO,Johnson,300
Week 17,2021-04-05,HEB Pharmacy 212,3200 N 10th St,McAllen,HIDALGO,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 334,3601 Pecan Blvd,McAllen,HIDALGO,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 590,901 Trenton Rd,McAllen,HIDALGO,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 702,200 W Expressway 83,McAllen,HIDALGO,Johnson,100
Week 17,2021-04-05,"TURTLE HEALTHCARE GROUP, LLC",720 E DOVE AVE,McAllen,HIDALGO,Johnson,400
Week 17,2021-04-05,Walgreens Pharmacy 02942,2300 Pecan Blvd,McAllen,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03623,5528 N 10th St,McAllen,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09075,701 E Nolana Ave,McAllen,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09449,701 E Ridge Rd,McAllen,HIDALGO,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 226,Conway And 8th St,Mission,HIDALGO,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 448,2206 W Palma Vista,Mission,HIDALGO,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 571,200 E Griffin Pkwy,Mission,HIDALGO,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 674,120 E Mile 3 Rd,Mission,HIDALGO,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 94,2409 East Expressway 83,Mission,HIDALGO,Johnson,100
Week 17,2021-04-05,La Joya's Neighborhood Doctors,2121 E Griffin Pkwy,Mission,HIDALGO,Johnson,400
Week 17,2021-04-05,Mission Regional Medical Center,900 S Bryan Rd,Mission,HIDALGO,Johnson,300
Week 17,2021-04-05,Walgreens Pharmacy 09076,2301 N Shary Rd,Mission,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 13931,100 W Interstate Highway 2,Mission,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 15202,2008 W Palma Vista Dr,Mission,HIDALGO,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 642,1300 S Cage Blvd,Pharr,HIDALGO,Johnson,100
Week 17,2021-04-05,Industrial Health Works,6201 South Cage Blvd,Pharr,HIDALGO,Johnson,200
Week 17,2021-04-05,HEB Pharmacy 38,901 W Expressway 83,San Juan,HIDALGO,Johnson,100
Week 17,2021-04-05,Nuestra Clinica Del Valle,806 W 3rd Street,San Juan,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10550,824 N Veterans Blvd,San Juan,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 13962,101 W Fm 495,San Juan,HIDALGO,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 231,1004 N Texas Ave,Weslaco,HIDALGO,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 485,310 N Westgate Dr,Weslaco,HIDALGO,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10551,1701 W Business 83,Weslaco,HIDALGO,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 036,1310 N Brazos St,Whitney,HILL,Johnson,100
Week 17,2021-04-05,United Pharmacy 509,511 College Ave,Levelland,HOCKLEY,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 94,1301 S Morgan St,Granbury,HOOD,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 631,3804 Us Hwy 377,Granbury,HOOD,Johnson,100
Week 17,2021-04-05,Pecan Discount Drug,9203 Plantation Dr Ste 1,Granbury,HOOD,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05921,1050 E Us Highway 377,Granbury,HOOD,Johnson,100
Week 17,2021-04-05,Brookshire's Pharmacy 013,809 Gilmer Rd.,Sulphur Springs,HOPKINS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 11910,1130 S Broadway St,Sulphur Springs,HOPKINS,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 112,1111 N Hwy 287,Grapeland,HOUSTON,Johnson,100
Week 17,2021-04-05,Texas Department of Criminal Justice EASTHAM,Farm Road 230,Lovelady,HOUSTON,Johnson,100
Week 17,2021-04-05,Big Spring State Hospital,1901 N Us Highway 87,Big Spring,HOWARD,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 51,2000 S Gregg St,Big Spring,HOWARD,Johnson,100
Week 17,2021-04-05,Project Vida Health Center,561 S. Knox,Fort Hancock,HUDSPETH,Johnson,200
Week 17,2021-04-05,Texas A&M Commerce Student Health,2600 W Neal St,Commerce,HUNT,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 74,6410 Wesley St,Greenville,HUNT,Johnson,100
Week 17,2021-04-05,Medicine Shoppe Pharmacy #2015,3001 Joe Ramsey Blvd. E.,Greenville,HUNT,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 09123,6905 Wesley St,Greenville,HUNT,Johnson,100
Week 17,2021-04-05,UNITED PHARMACY 539,1414 W WILSON ST,Borger,HUTCHINSON,Johnson,100
Week 17,2021-04-05,Jack County Medical Clinic,215 Chisholm Trail,Jacksboro,JACK,Johnson,500
Week 17,2021-04-05,Heb Pharmacy 351,103 W Elm St,Edna,JACKSON,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 76 - Ganado,305 W York,Ganado,JACKSON,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 45 - Jasper,1125 S Wheeler St,Jasper,JASPER,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07638,1250 S Wheeler St,Jasper,JASPER,Johnson,100
Week 17,2021-04-05,Brookshire Brothers Pharmacy of Kirbyville,1005 S Margaret Ave,Kirbyville,JASPER,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 48,3015 North Dowlen Rd,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 692,3590 College St,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 325,3965 Dowlen Rd,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,Kroger Pharmacy 328,3845 Phelan Blvd,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,Texas Department of Criminal Justice Stiles,3060 FM 3514,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,Walgreens 15513,3080 College St,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03796,6795 Calder Ave,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03821,3605 College St,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 06583,3885 Dowlen Rd,Beaumont,JEFFERSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 11275,4746 Twin City Hwy,Groves,JEFFERSON,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 589,4800 Highway 365,Port Arthur,JEFFERSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03958,4930 Gulfway Dr,Port Arthur,JEFFERSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05375,3700 Highway 365,Port Arthur,JEFFERSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 03507,2126 Nall St,Port Neches,JEFFERSON,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 223,1115 E Main St,Alice,JIM WELLS,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10231,1055 E Main St,Alice,JIM WELLS,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 16,165 Nw John Jones Dr,Burleson,JOHNSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05377,833 Sw Wilshire Blvd,Burleson,JOHNSON,Johnson,100
Week 17,2021-04-05,Albertsons Pharmacy 4294,210 W KATHERINE P RAINES RD,Cleburne,JOHNSON,Johnson,100
Week 17,2021-04-05,DSHS Cleburne,108 E Kilpatrick St,Cleburne,JOHNSON,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 679,600 W Henderson St,Cleburne,JOHNSON,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 05434,1621 W Henderson St,Cleburne,JOHNSON,Johnson,100
Week 17,2021-04-05,Stamford Family Health Center,1303 Mabee,Stamford,JONES,Johnson,200
Week 17,2021-04-05,HEB Pharmacy 693,107 N Sunset Strip St,Kenedy,KARNES,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 89,427 PINSON ROAD,Forney,KAUFMAN,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 10817,451 Fm 548,Forney,KAUFMAN,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 023,1400 W. Moore St.,Terrell,Kaufman,Johnson,100
Week 17,2021-04-05,City of Boerne,124 Old San Antonio Rd,Boerne,KENDALL,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 621,420 W Bandera,Boerne,KENDALL,Johnson,100
Week 17,2021-04-05,Kendall County EMS,1175 N MAIN ST,Boerne,KENDALL,Johnson,1000
Week 17,2021-04-05,Walgreens Pharmacy 05765,1223 S Main St,Boerne,KENDALL,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 655,313 Sidney Baker Drive S,Kerrville,KERR,Johnson,100
Week 17,2021-04-05,HEB Pharmacy 770,300 Main St,Kerrville,KERR,Johnson,100
Week 17,2021-04-05,Peterson Regional Medical Center - Kerrville,551 Hill Country Dr,Kerrville,KERR,Johnson,500
Week 17,2021-04-05,Walgreens Pharmacy 03730,628 Jefferson St.,Kerrville,KERR,Johnson,100
Week 17,2021-04-05,Heb Pharmacy 401,409 E Kleberg,Kingsville,KLEBERG,Johnson,100
Week 17,2021-04-05,"Robert Morales MD, PA",1305 S 14th St,Kingsville,KLEBERG,Johnson,200
Week 17,2021-04-05,Walgreens Pharmacy 03917,922 E King Ave,Kingsville,KLEBERG,Johnson,100
Week 17,2021-04-05,Texas Department of Criminal Justice COTULLA,610 FM 624,Cotulla,LA SALLE,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 014,925 Clarksville St,Paris,LAMAR,Johnson,100
Week 17,2021-04-05,Paris Family Physicians,1128 Clarksville St Ste 100,Paris,LAMAR,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 07242,3603 Lamar Ave,Paris,LAMAR,Johnson,100
Week 17,2021-04-05,Olton Rural Health Clinic,524 8th Street,Olton,LAMB,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 54 - Buffalo,1220 W Commerce,Buffalo,LEON,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 26,1117 N Main St,Jewett,LEON,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 75,103 Main St,Normangee,LEON,Johnson,100
Week 17,2021-04-05,Brookshires Pharmacy 16,603 E Houston St,Cleveland,LIBERTY,Johnson,100
Week 17,2021-04-05,Walgreens Pharmacy 11814,101 S Washington Ave,Cleveland,LIBERTY,Johnson,100
